3433 6862
-2.37305 5.88198 3.637
-2.37305 5.88198 -3.65066
2.33501 5.88198 -3.65066
2.33501 5.88198 3.637
2.33501 -5.94448 3.637
2.33501 -5.94448 -3.65066
-2.37305 -5.94448 -3.65066
-2.37305 -5.94448 3.637
-2.42007 3.02535 3.71436
-2.42007 3.02535 -3.72306
2.39584 3.02535 3.71436
2.39584 3.02535 -3.72306
-2.42007 -3.59163 -3.72306
-2.42007 -3.59163 3.71436
2.39584 -3.59163 3.71436
2.39584 -3.59163 -3.72306
-1.46441 -6.09303 3.71436
-1.46441 -6.09303 -3.72306
-1.46441 -3.59163 3.85
-1.46441 3.02535 3.85
-1.46441 6.10555 3.71436
-1.46441 6.10555 -3.72306
-1.46441 3.02535 -3.85
-1.46441 -3.59163 -3.85
1.33361 -6.09303 -3.72306
1.33361 -6.09303 3.71436
1.33361 -3.59163 3.85
1.33361 3.02535 3.85
1.33361 6.10555 3.71436
1.33361 6.10555 -3.72306
1.33361 3.02535 -3.85
1.33361 -3.59163 -3.85
1.33361 -6.35342 -2.22399
2.39584 -6.09303 -2.22399
-1.46441 -6.35342 -2.22399
-2.42007 -6.09303 -2.22399
-2.5025 -3.59163 -2.22399
-2.5025 3.02535 -2.22399
-2.42007 6.10555 -2.22399
-1.46441 6.49751 -2.22399
1.33361 6.49751 -2.22399
2.39584 6.10555 -2.22399
2.5025 3.02535 -2.22399
2.5025 -3.59163 -2.22399
2.39584 -6.09303 2.17699
1.33361 -6.35342 2.17699
-1.46441 -6.35342 2.17699
-2.42007 -6.09303 2.17699
-2.5025 -3.59163 2.17699
-2.5025 3.02535 2.17699
-2.42007 6.10555 2.17699
-1.46441 6.49751 2.17699
1.33361 6.49751 2.17699
2.39584 6.10555 2.17699
2.5025 3.02535 2.17699
2.5025 -3.59163 2.17699
-2.17861 6.4202 -3.34851
-2.41422 6.07778 -3.34235
-2.1746 6.07778 -3.71408
-1.46441 6.45831 -3.34975
-2.17942 6.45831 -2.22399
-2.17861 -6.30208 -3.34851
-1.46441 -6.3274 -3.34975
-2.1746 -6.07458 -3.71408
-2.41422 -6.07458 -3.34235
-2.17942 -6.3274 -2.22399
-2.48624 5.10387 -3.34851
-2.49426 3.02535 -3.34975
-2.41422 5.0848 -3.71408
-2.49426 5.10769 -2.22399
2.48147 5.10387 -3.34851
2.38829 6.07778 -3.34235
2.38829 5.0848 -3.71408
2.49184 3.02535 -3.34975
2.49184 5.10769 -2.22399
-2.17861 5.10387 -3.82497
-2.17942 3.02535 -3.83731
-1.46441 5.10769 -3.83731
-2.17861 5.10387 3.82325
-2.17942 3.02535 3.83643
-2.41422 5.0848 3.70475
-2.1746 6.07778 3.70475
-1.46441 5.10769 3.83643
-2.49426 -0.335766 -3.34975
-2.49426 -3.59163 -3.34975
