3082 6160
3.75088 -0.941456 2.26365
4.12136 -0.691256 2.16899
3.88994 -0.183156 -2.29546
3.73834 -0.609156 2.24262
4.21547 0.250044 -2.14319
3.86335 0.876544 -2.26387
3.79259 0.393844 -2.31494
3.74161 0.888444 2.2809
3.66353 1.35064 2.27243
3.61935 1.41344 -2.23639
3.60116 1.82504 -2.17601
4.21176 2.15984 -2.1279
3.56241 1.74374 2.17991
3.68927 2.16934 2.12193
3.85218 1.86504 2.26669
3.75505 2.15294 -2.12191
3.88338 2.51744 -2.04199
3.98501 2.01704 2.28441
4.30914 2.02814 2.32775
3.8795 2.57784 2.03848
3.57136 3.29884 -1.6394
3.76514 2.90404 -1.88245
3.89658 3.33694 1.5834
3.63732 2.99554 1.67776
3.56222 3.77574 -1.31683
3.93864 3.93244 -1.34159
3.53434 3.85404 0.0358413
3.55314 3.83604 0.360139
3.81202 3.96284 0.517135
3.82686 3.83454 0.927905
3.97438 3.68884 1.2461
3.92153 4.15924 -0.770187
4.24452 4.26424 -0.665337
3.91474 4.12424 -0.339497
3.8451 4.04874 0.0817363
4.20357 4.14684 0.41284
3.98376 -3.12128 -1.27527
4.55867 -3.39253 -1.27891
4.33099 -3.57481 -0.519561
4.43528 -3.58052 0.469895
4.34134 -3.46328 0.882625
4.53476 -3.37544 1.27635
4.27645 -3.23555 -1.30506
4.38833 -3.00352 -1.55592
4.47957 -2.57375 -1.8148
4.01021 -2.70433 2.29806
4.42603 -2.91459 2.06142
4.43095 -2.4147 2.27346
4.48111 -1.77472 -2.0029
4.33945 -1.20396 -2.11045
4.40745 -1.63285 2.23319
4.16118 -0.723856 -2.19945
3.91714 -0.253656 2.20451
3.8476 0.282244 2.24591
4.36181 0.841244 -2.08089
4.38605 -0.000655616 2.12572
4.02565 1.29464 -2.22278
3.95003 1.57434 2.29273
4.04014 1.22034 2.28513
4.47639 1.39454 2.28534
4.37995 1.50654 -2.14641
3.92678 1.74144 -2.20849
4.19439 1.77934 2.32576
4.00593 2.22584 2.23636
3.96491 2.98314 1.86966
4.04195 3.23384 -1.7824
4.5392 3.00404 -1.86061
4.36094 3.57044 -1.59664
3.82674 3.62554 -1.5538
4.18841 3.52424 1.50077
4.07576 4.11794 -1.23145
4.16695 4.19494 -1.08676
4.37644 4.00954 -1.3155
4.27664 4.26704 -0.909205
4.52747 4.29064 -0.848091
4.57105 4.27994 -0.611553
4.27558 4.24954 -0.423692
4.50169 4.24434 -0.268277
4.14724 4.19454 -0.176621
4.22671 4.17854 0.104932
4.43591 4.12164 0.564835
4.07377 4.05324 0.665745
4.19078 3.95674 0.910885
4.89969 -3.60726 -1.21028
4.63008 -3.63628 -0.933425
5.02002 -3.80226 -0.924411
4.74592 -3.79458 -0.541554
5.11466 -3.91 -0.55574
4.86479 -3.86315 -0.217544
5.15756 -3.89989 -0.15404
4.8201 -3.78028 0.179927
4.93448 -3.30289 -1.4954
4.48036 -3.67098 -0.0443957
4.82141 -3.63848 0.668635
5.1842 -3.47118 1.19826
5.14917 -3.0579 -1.66781
4.97109 -3.3327 1.45611
4.5638 -3.13902 1.75763
5.14817 -3.21481 1.63447
4.95527 -2.9876 1.91718
4.57948 -2.24855 -1.91495
4.82864 -2.86626 -1.71699
4.67536 -2.74 2.13685
4.9182 -2.18231 -1.86719
4.80129 -2.50856 -1.83856
4.84711 -1.9192 2.14605
4.31975 -1.18176 2.18382
4.71111 -1.29671 -1.9416
4.55782 -0.803556 -2.00152
4.31053 -0.336656 -2.11526
4.6777 -0.595156 2.05331
4.83376 -0.0356556 2.00687
4.66977 -0.262756 -1.88321
4.56929 0.292844 -1.92486
4.79601 0.483744 -1.75527
4.84302 0.0509444 -1.7028
5.21264 0.627744 1.94584
4.81908 0.419044 2.05357
5.14337 0.229444 1.89721
4.76066 1.04594 -1.92506
4.72762 1.47544 -2.08869
