2982 5960
5.58366 3.22567 3.72748
6.00236 3.62507 -2.31793
5.91136 4.18457 -1.76357
6.27536 3.87977 -1.04919
6.45236 3.61387 -0.673399
6.06556 4.29887 -0.947199
6.22826 4.15977 -0.409609
6.36876 3.94257 -0.0521992
6.52546 3.54547 -0.117279
6.51706 3.45187 0.931071
5.87416 4.20747 2.2906
6.12826 3.70627 2.26289
5.75196 3.95507 2.90354
5.64916 3.62247 3.3953
5.88576 3.31087 3.18174
5.90566 3.95887 -2.12218
5.98536 4.63207 -0.330239
6.01756 4.62037 0.311711
6.18216 4.31237 0.0436908
6.25936 4.12837 0.628661
6.00476 4.61967 0.647041
6.12536 4.29987 1.10225
5.66906 4.36647 2.5947
5.58116 5.22767 -0.288179
5.71216 5.02397 -0.459099
6.68636 -0.816528 -1.03204
6.70776 -0.826028 -0.0503892
6.74016 -0.672228 -0.640839
6.60986 -0.988028 0.778761
6.80606 -0.289728 0.409591
6.65656 -0.617528 -1.56796
6.68606 0.0582719 -1.95984
6.73546 -0.291328 -1.49975
6.77406 -0.299528 -1.2016
6.73596 -0.636828 0.322801
6.81956 -0.299928 -0.569899
6.88996 0.265472 -0.748199
6.82736 -0.292828 -0.247309
6.67676 -0.730628 0.796061
6.74026 -0.363628 0.834951
6.87946 0.256572 0.273401
6.60366 0.597872 -2.3824
6.57236 0.164072 -2.35393
6.70566 0.590372 -2.0967
6.77916 0.245872 -1.65084
6.83606 0.0686719 -1.10736
6.83466 0.626972 -1.56122
6.74836 0.974372 -1.99932
6.87996 0.639172 -1.26945
6.82776 1.19007 -1.68119
6.88106 0.0802719 -0.144709
6.93446 1.23477 -0.782209
6.93296 0.652872 -0.642919
6.93866 0.652672 -0.308119
6.94556 1.04677 -0.177709
6.77026 0.0680719 0.966741
6.90426 0.652972 0.400071
6.74436 0.335472 1.34327
6.87376 1.08347 0.865081
6.86966 0.669972 0.753781
6.78056 0.739572 1.41414
6.65166 0.298572 1.80678
6.69626 0.739172 1.80193
6.71916 1.52317 -2.09285
6.90616 1.02947 -1.15693
6.71026 1.89247 -1.97329
6.83856 1.57857 -1.56586
6.87906 1.60117 -1.27643
6.93216 1.64347 -0.314349
6.92476 1.63367 -0.650409
6.92986 1.25437 0.237381
6.91356 1.65487 0.377901
6.88526 1.66607 0.723221
6.82056 1.31027 1.26491
6.79216 1.70867 1.40184
6.71766 1.22047 1.79638
6.71326 1.70527 1.78875
6.75996 2.25127 1.29045
6.58616 1.96567 -2.32652
6.73396 2.39577 -1.47568
6.84366 2.22377 -0.748549
6.89236 2.04097 -0.150209
6.69246 3.04697 -0.445839
6.81486 2.58827 -0.196489
6.86226 2.22397 0.282981
6.79716 2.58967 0.461531
6.67456 3.09497 0.428861
6.77126 2.59197 0.795611
6.83536 2.05467 0.879341
6.68276 2.90627 0.972841
6.62086 3.29377 -0.329159
6.73366 2.92367 -0.00585919
6.46646 3.69817 0.344101
6.60486 3.30417 0.655921
-7.36394 -1.89853 0.628801
-7.36184 -1.79623 0.146031
-7.24644 -2.07083 0.440431
-7.50854 -0.869428 -0.296189
-7.53174 -1.19933 0.0540808
-7.45464 -1.62903 0.334581
-7.54114 -1.25793 0.358561
-7.53904 -0.999628 0.517121
-7.43194 -1.59923 0.748211
-7.49464 -1.26973 0.824711
-7.48884 -0.969328 0.807031
-7.35714 -1.46593 1.09359
-7.42414 -0.439128 -0.659759
-7.50974 -0.569628 -0.338939
-7.54254 -0.786128 0.0142708
-7.51714 -0.686128 0.544631
-7.38274 -0.981728 1.06561
-6.35674 -1.86233 -3.67178
-6.61564 -2.16933 -2.97814
-6.36204 -2.39273 -3.25656
-6.77944 -2.15893 -1.96106
-6.61234 -2.43723 -1.17071
-6.61084 -2.44263 -1.67506
-6.84434 -2.17223 -0.923939
-6.67424 -2.55083 -0.0556492
-6.64464 -2.47643 -0.630619
-7.40924 -1.38773 -0.225709
-7.17214 -1.97733 -0.0594392
-6.97544 -2.37073 0.322911
-6.97014 -2.42273 0.654561
-6.96604 -2.29283 1.20076
-7.15764 -2.15803 0.856291
-7.22064 -1.93113 1.10346
-6.63804 -2.56783 1.45928
-6.72064 -2.14513 2.0629
-6.89894 -1.28463 2.2806
-7.08804 -1.33193 1.7215
-6.81404 -1.76523 2.18278
-6.49254 -2.40713 2.30426
-6.70234 -1.71643 2.59123
-6.81324 -1.24553 2.53111
-6.60274 -1.57593 2.89962
-6.53904 -1.97533 2.83706
-6.35794 -2.18913 3.07925
-6.58774 -1.88113 -3.25296
-6.65644 -1.56063 -3.23003
-6.72254 -1.87513 -2.79763
-6.43244 -1.37383 -3.66409
-6.64604 -1.10253 -3.24704
-6.84544 -1.41573 -2.68001
-6.84414 -1.86193 -2.2731
-6.81664 -0.850028 -2.81154
-6.92644 -1.38553 -2.33738
-6.89154 -1.81593 -1.79642
-7.09644 -0.781028 -1.73467
-7.05434 -1.36283 -1.63342
-6.96414 -1.85043 -1.23506
-7.25614 -1.07933 -0.961549
-7.12044 -1.39333 -1.24613
-7.25504 -1.59913 -0.474189
-7.02654 -1.89673 -0.690259
-7.20574 -1.39793 1.42448
-7.01154 -2.01803 1.4521
-6.92684 -1.87003 1.81004
-6.96314 -0.701528 2.16878
-6.62404 -0.670628 2.92348
-6.63574 -1.14173 2.93318
-6.46194 -1.40063 3.21363
-6.62824 -0.598728 -3.26924
-6.33964 -0.390828 -3.72757
-6.82424 -0.419328 -2.70482
-6.97954 -0.989328 -2.18885
-6.93074 -0.380828 -2.34579
-7.01384 0.239872 -1.76252
-7.27704 -0.375128 -1.12328
-7.14494 -0.377128 -1.5628
-7.41174 -0.828328 -0.652899
-7.42724 -0.214428 -0.421279
-7.21284 0.158872 -1.10806
-7.38744 0.0241719 -0.276519
-7.48144 -0.394528 0.140161
-7.40984 -0.398028 0.619131
-7.23404 0.355272 0.313601
-7.31614 -0.131528 0.785471
-7.26814 -0.662528 1.24133
-7.18054 -0.287328 1.40515
-7.08754 0.298972 1.2514
-7.06274 0.701772 0.712311
-7.21264 0.149172 0.888841
-7.07374 -0.914528 1.8361
-7.09104 -0.307328 1.71101
-6.78314 -0.862328 2.62481
-6.88024 0.639472 1.64772
-6.99004 0.0792719 1.80357
-6.84014 0.245972 2.13283
-6.79214 -0.311828 2.52565
-6.89984 -0.311828 2.26767
-6.70024 0.0401719 2.59528
-6.60184 -0.230028 2.89648
-6.42194 -0.990428 3.29424
-6.39634 0.0930719 3.07748
-6.42654 0.316372 -3.34466
-6.53934 -0.130128 -3.29391
-6.65254 0.150372 -2.88889
-6.21914 0.703172 -3.45307
-6.90644 0.0365719 -2.20882
-6.48994 0.743872 -2.84463
-6.78824 0.509872 -2.28808
-6.93264 0.657472 -1.68657
-7.00544 0.707572 -1.33288
-7.21374 0.408172 -0.731269
-7.09594 0.756472 -0.637469
-7.30704 0.230272 -0.113619
-6.95434 1.08207 -0.188309
-7.11464 0.749472 -0.286429
-6.86294 1.23757 0.173781
-7.09734 0.717772 0.392091
-6.88794 1.04727 0.794701
-6.95204 0.662472 1.34074
-6.75254 1.18427 1.15159
-6.71414 0.565072 2.23498
-6.61814 0.503672 2.50192
-6.55454 0.124072 2.83178
-6.43054 0.716972 2.64424
-6.63504 0.926372 -2.3104
-6.46234 1.31077 -2.34995
-6.67574 1.15177 -1.88852
-6.87304 1.06357 -1.23007
-6.66934 1.44467 -1.33829
-6.84104 1.24247 -0.844709
-6.42734 1.80057 -1.44721
-6.75144 1.47807 -0.308659
-6.58674 1.68817 0.194201
-6.69734 1.45087 0.683331
-6.54774 1.31197 1.70436
-6.47954 1.59617 1.21666
-6.71174 0.954072 1.75404
-6.32504 1.61327 1.6916
-6.56514 0.999672 2.11822
-5.65114 -2.75283 -4.37344
-5.63354 -3.01603 -4.14847
-5.84724 -2.85323 -3.84989
-6.14794 -2.99073 -2.65305
-6.05394 -2.93433 -3.23359
-5.67504 -3.49413 -2.65125
-5.91224 -3.23343 -2.92251
-6.18854 -3.00883 -2.12609
-6.57914 -2.46113 -2.17324
-5.94204 -3.25753 -1.87461
-6.15644 -2.97763 -1.1431
-5.89034 -3.22913 -0.893309
-5.62994 -3.47563 -1.14936
-6.15944 -3.03243 -0.0909492
-5.62104 -3.49893 -0.119819
-6.66324 -2.68733 0.532581
-6.15884 -3.08313 0.447071
-5.89164 -3.28463 0.157551
-5.88654 -3.30473 1.17458
-6.13924 -3.06323 1.43508
-6.15514 -3.09933 0.955391
-6.10964 -3.01133 1.89704
-5.85084 -3.23983 2.1209
-6.56134 -2.48343 1.89058
-6.06924 -2.96633 2.34944
-5.56504 -3.45663 2.8271
-6.41384 -2.32963 2.71285
-5.78464 -3.17553 3.05271
-5.53264 -3.42603 3.3015
-5.64554 -3.03653 3.93838
-5.48734 -2.97903 4.37216
-5.10394 -2.44143 -5.13952
-5.36044 -2.69463 -4.77765
-5.53304 -2.32793 -4.70779
-5.81504 -2.52083 -4.26198
