4128 8252
-5.61092 -5.71942 -0.956606
-5.60702 -5.66719 -0.633396
-5.62502 -5.26119 -1.04439
-5.63602 -5.55357 -0.995556
-5.27652 -6.29543 -1.72432
-5.06782 -6.43239 -1.77832
-5.15412 -6.40131 -1.6059
-5.22322 -6.34299 -1.48402
-4.93892 -6.44183 -1.57426
-5.19602 -6.35574 -1.33866
-5.35742 -6.18621 -1.64348
-5.43882 -6.1313 -1.41159
-5.33882 -6.27124 -1.35681
-4.93632 -6.40768 -1.41174
-5.15152 -6.31398 -1.01142
-5.20462 -6.32452 -1.16855
-5.10112 -6.14904 -2.20653
-5.15992 -6.31693 -1.93991
-5.27632 -6.07218 -2.06947
-5.35882 -6.13871 -1.78947
-5.44532 -5.85166 -1.80649
-5.44562 -6.04674 -1.58632
-5.50072 -5.84641 -1.54512
-5.41202 -6.16959 -1.26966
-5.52202 -5.86705 -1.36814
-5.46252 -6.1217 -1.15989
-5.50462 -6.02971 -1.00776
-5.39082 -6.1966 -0.956116
-5.27432 -6.11388 -0.704886
-5.31742 -6.19993 -0.859876
-5.50462 -5.94806 -0.790956
-5.19272 -6.11691 -0.577386
-5.42742 -5.93632 -0.533786
-4.87412 -6.18775 -0.677016
-5.18392 -6.09166 -0.383256
-5.31662 -5.99473 -0.279696
-5.38182 -5.88046 -0.203266
-5.14382 -6.10772 -0.205916
-4.88192 -6.18072 -0.334246
-4.87112 -6.18954 -0.127116
-5.27542 -5.98006 0.0411741
-5.18672 -6.0623 -0.0627059
-5.39372 -5.81215 -0.0468159
-5.05302 -6.1458 0.0025041
-4.86172 -6.18883 0.0582941
-5.11442 -6.10347 0.142964
-4.86292 -6.16735 0.213154
-5.15952 -6.02917 0.254634
-5.23642 -5.925 0.339454
-5.03542 -6.10026 0.321524
-5.31332 -5.432 -2.42609
-5.38012 -5.81467 -2.06219
-5.26522 -5.79249 -2.31542
-5.47232 -5.60761 -1.80953
-5.54622 -5.55437 -1.36073
-5.53612 -5.88705 -1.18004
-5.63842 -5.42161 -0.576656
-5.46072 -5.85439 -0.382066
-5.52912 -5.68539 -0.362326
-5.51522 -5.58419 -0.299956
-5.32912 -5.85548 0.104984
-5.34672 -5.77744 0.204624
-5.25142 -5.69667 0.470354
-5.30602 -5.75397 0.343224
-5.11852 -5.92457 0.517164
-5.07142 -5.84394 0.666074
-5.20102 -5.61699 0.583084
-5.35512 -5.12738 -2.33502
-5.40662 -5.49424 -2.13463
-5.51072 -5.52425 -1.5724
-5.49692 -5.25967 -1.56555
-5.51962 -5.19972 -0.322496
-5.48152 -5.52473 -0.157176
-5.43752 -5.54961 -0.0042059
-5.40152 -5.53254 0.140704
-5.47012 -5.26107 -0.103716
-5.33142 -5.48273 0.325754
-5.18032 -5.025 -2.65753
-4.93562 -4.99683 -2.84472
-5.04312 -5.24792 -2.75976
-5.24682 -5.41485 -2.54715
-5.41762 -5.2408 -2.08296
-5.65342 -5.23988 -0.709816
-5.55272 -4.74223 -0.877336
-5.54912 -4.84643 -0.676546
-5.56562 -5.2606 -0.457296
-5.52212 -4.66732 -0.583056
-5.50092 -4.65229 -0.428746
-5.40052 -5.30358 0.131774
-5.42162 -4.66584 -0.111336
-5.06722 -4.56894 -2.81679
-5.18822 -4.58623 -2.67736
-5.05302 -4.24014 -2.81572
-5.37492 -4.50656 -1.78092
-5.54312 -4.75284 -1.12347
-5.51002 -4.35407 -0.871836
-5.34982 -4.46757 0.0602541
-5.16442 -4.78027 0.623054
-5.15992 -4.21741 -2.66308
-5.28002 -4.79755 -2.52227
-5.33682 -4.77261 -2.32106
-5.31132 -4.32352 -2.01216
-5.25632 -4.26946 -2.34572
-5.38172 -4.75569 -1.92395
-5.35422 -4.01347 -1.68295
-5.49382 -4.03329 -0.529246
-5.46632 -4.61792 -0.266446
-5.31562 -4.01818 0.129744
-5.08472 -3.41362 -2.62228
-5.19802 -3.80901 -2.31619
-5.21382 -4.18519 -2.5143
-5.46722 -4.37852 -1.32193
-5.48172 -4.22877 -1.13488
-5.43432 -3.61711 -1.23447
-5.47582 -3.5754 -1.04562
-5.50052 -3.6958 -0.871816
-5.44312 -3.69271 -0.515476
-5.50812 -3.88121 -0.699576
-5.42722 -4.0939 -0.281906
-5.27082 -3.81254 0.269494
-5.24312 -4.1286 0.419634
-5.23472 -3.68727 -2.03629
-5.36682 -3.95766 -0.137036
-5.30382 -3.3482 -1.60935
-5.09932 -2.8105 -2.04411
-5.39052 -3.64297 -1.41057
-5.47052 -3.44544 -0.815346
-5.41292 -3.06174 -1.09827
-5.34322 -2.90438 -0.749396
-5.30462 -2.92591 -0.445136
-5.33812 -3.33901 -0.380016
-5.27572 -3.06129 -0.263186
-5.38762 -3.02866 -1.25333
-5.29002 -2.21695 -1.21627
-5.36242 -2.81573 -0.962836
-5.29352 -2.32782 -0.603916
-5.22042 -1.86679 -1.17426
-5.29722 -2.2073 -0.845546
-4.87632 -6.38662 -2.09911
-4.87652 -6.47861 -1.73394
-4.94022 -6.3681 -1.24525
-5.13062 -6.2401 -0.840856
-5.08072 -6.02264 0.438704
-4.80122 -5.95694 0.769044
-4.82342 -5.90391 0.900824
-5.18172 -5.5114 -2.57357
-5.04432 -5.77573 0.772474
-5.11312 -5.60495 0.759894
-4.96082 -5.77635 0.929354
-5.18602 -5.33028 0.629874
-5.07122 -5.45823 0.916194
-5.26352 -4.88982 0.374584
-5.06182 -5.13865 0.945564
-5.00152 -4.50938 0.870754
-5.02032 -3.73549 -2.80282
-5.10472 -3.78717 -2.67375
-4.99072 -4.01603 0.847164
-4.95112 -3.747 0.951774
-5.08422 -3.20297 -2.43382
-5.13402 -3.91683 0.556434
-5.06182 -3.16984 0.454634
-5.03582 -3.65245 0.682244
-4.98972 -3.2716 -2.79034
-5.22952 -3.3943 -1.8896
-5.03252 -2.82108 -2.31527
-5.19202 -3.05515 -0.0384359
-5.14662 -3.44659 0.320604
-5.01292 -3.14912 -2.65048
-4.89722 -3.05223 -2.87288
-4.91172 -2.84242 -2.65312
-4.87512 -2.98178 -2.81553
-4.95592 -2.65637 -2.46776
-5.06602 -2.54011 -2.0317
-5.33862 -3.05998 -1.42706
-5.26892 -2.28286 -0.481386
-5.15842 -2.46021 -0.141426
-5.03772 -2.55935 0.367744
-5.01222 -2.14888 -2.04959
-4.84172 -1.8709 -2.48133
-5.25372 -2.31258 -1.48565
-5.09622 -2.40448 0.0798241
-5.00422 -1.60199 -1.82896
-5.04502 -1.3656 -1.49984
-5.21122 -2.05241 -1.51323
-5.14772 -1.4985 -1.05905
-5.17462 -1.63173 -0.895396
-5.14922 -1.69379 -0.643196
-5.13392 -1.99655 -0.341256
-5.02452 -2.26444 0.265644
-5.09132 -1.2455 -0.851686
-5.04602 -1.55482 -0.455946
-4.95622 -1.53433 -0.246006
-5.10922 -1.37678 -1.24251
-5.00532 -0.713338 -1.39307
-4.90252 -0.506458 -1.61878
-4.92172 -0.374998 -1.42767
-5.05242 -0.832558 -1.18573
-4.87342 -6.4655 -1.91607
-4.23492 -6.30175 -1.39054
-4.50002 -6.20789 -1.01782
-4.63122 -5.89462 -2.65171
-4.91102 -6.12795 -2.36236
-4.92822 -6.31852 -1.034
-4.96402 -6.21359 -0.809756
-4.95342 -6.16545 -0.477776
-4.64372 -6.19419 -0.329606
-4.56402 -6.19513 -0.136386
-4.84722 -6.12901 0.360494
-4.83252 -6.07605 0.482064
-4.86732 -5.99195 0.616294
-4.59272 -6.0162 0.659264
-4.51072 -5.97421 0.991104
-4.77942 -5.83554 1.22017
-4.76312 -5.88639 1.09039
-4.57942 -5.92182 1.3129
-4.54982 -5.72978 -2.77818
-4.97062 -5.90442 -2.50051
-4.95342 -5.68877 1.05772
-4.81572 -5.77796 1.39991
-4.93492 -5.58848 1.30992
-4.96302 -5.61981 1.1862
-4.85182 -5.55804 1.46122
-4.70712 -5.76189 1.51292
-4.53452 -5.77442 1.55405
-4.62832 -5.56353 1.77869
-4.53302 -5.67267 1.68887
-4.55372 -5.51283 1.88765
-4.67882 -5.18827 -2.92335
-4.93362 -5.22812 1.31208
-4.96992 -5.43962 1.2704
-4.76542 -5.52786 1.58104
-4.79772 -5.31066 1.73699
-4.78792 -5.43098 1.66373
-4.69932 -5.36933 1.83893
-4.98052 -4.81522 -2.86205
-4.61362 -4.96515 -2.9667
-4.96822 -4.77007 1.00128
-4.89052 -5.20892 1.47112
-4.86542 -5.17447 1.61505
-4.88962 -4.91187 1.61615
-4.72032 -4.6897 1.83537
-4.68942 -5.09662 1.88112
-4.92472 -4.50438 -2.91681
-4.91082 -4.11957 -2.91965
-4.77992 -4.72968 -2.95593
-4.95072 -4.48982 1.01827
-4.91812 -4.56591 1.46353
-4.91742 -4.94238 1.42987
-4.82692 -5.04974 1.74682
-4.81682 -4.13846 1.73216
-4.55522 -4.73021 1.93849
-4.90722 -3.93062 1.45022
-4.88222 -4.36781 1.60508
-4.72852 -4.08124 1.87951
-4.58152 -3.80284 -3.01192
-4.76292 -4.29131 -2.98224
-4.91142 -3.68733 1.28473
-4.92892 -4.1123 1.22683
-4.81782 -3.72856 1.69241
-4.86992 -4.00628 1.60695
-4.64832 -3.98945 2.06867
-4.74972 -3.63625 -2.97811
-4.74262 -3.48818 1.85055
-4.78022 -3.29222 1.58941
-4.75212 -3.82352 1.89103
-4.68992 -3.63331 2.03038
-4.62762 -3.77199 2.13385
-4.89222 -3.45934 -2.90611
-4.76482 -3.16439 -2.96056
-4.93182 -3.1095 0.814904
-4.87262 -3.50502 1.40175
-4.59552 -3.13745 -3.00276
-4.73172 -2.76763 1.45539
-4.68962 -2.98419 1.81134
-4.74682 -2.681 -2.81058
-4.90362 -2.70894 0.724134
-4.87502 -2.42388 0.635254
-4.85872 -2.89518 0.992994
-4.74092 -2.32251 0.971974
-4.70702 -2.20124 1.09448
-4.67492 -2.19962 1.61812
-4.55012 -1.68601 -2.90097
-4.83222 -1.71719 0.247014
-4.77392 -2.23481 0.769834
-4.62872 -2.08708 1.78569
-4.69792 -1.95786 -2.77785
-4.82482 -2.23324 -2.63154
-4.74222 -1.62593 -2.65255
-4.94132 -1.69036 -2.06611
-4.89362 -1.7333 0.100404
-4.77022 -1.83832 0.487874
-4.69192 -2.13986 1.33851
-4.63542 -1.68111 0.887604
-4.64982 -1.51797 -2.79096
-4.78432 -1.2435 -2.27833
-4.92112 -1.15896 -0.416876
-4.85622 -1.24564 -0.0328859
-4.76772 -1.36494 0.271904
-4.56622 -1.25228 0.628714
-4.67742 -1.2499 0.433884
-4.65562 -1.57106 0.678834
-4.53832 -1.28763 -2.88656
-4.68512 -1.39185 -2.64444
-4.77462 -1.45856 -2.45311
-4.62732 -0.925328 -2.47556
-4.67342 -0.761608 -2.25279
-4.80682 -0.973868 -2.02553
-5.02892 -0.928678 -0.893106
-4.96472 -1.18281 -0.565866
-4.83112 -0.763968 -0.0179159
-4.58862 -1.13545 -2.66299
-4.93062 -0.801478 -1.6501
-4.89302 -1.14149 -0.256336
-4.88792 -0.577348 -0.240896
-4.73982 -0.442958 0.133604
-4.99512 -0.532468 -1.07644
-4.89122 -0.117508 -0.905136
-4.94402 -0.629068 -0.813896
-4.91982 -0.646728 -0.598606
-4.46702 0.0763218 -2.30026
-4.69952 0.211512 -1.56177
-4.91112 -0.315068 -0.996246
-4.87132 0.122642 -0.587056
-4.79552 0.0849118 -0.268456
-4.86022 -0.282298 -0.252946
-4.65452 -0.196118 0.363964
-4.69592 0.102852 0.104704
-4.51992 -0.375908 0.728144
-4.72892 -0.172408 -1.83206
-4.87312 -0.152248 -1.25518
-4.82992 0.0576518 -1.18425
-4.73922 0.654452 -1.22818
-4.90732 -0.168498 -0.580386
-4.72482 0.692138 -0.482336
-4.69462 0.349524 -0.0730159
-4.85932 0.248902 -0.842366
-4.54642 0.680567 -1.7312
-4.72242 0.351346 -1.40483
-4.51332 1.19719 -1.58621
-4.80262 0.591116 -0.975346
-4.68722 1.1113 -1.06381
-4.68412 1.13919 -0.908106
-4.71682 0.94164 -0.735866
-4.65972 1.00645 -1.3159
-4.69552 -6.31067 -2.28084
-4.22122 -6.41867 -2.40123
-4.40572 -6.51014 -2.0919
-4.59982 -6.45502 -2.12114
-4.17582 -6.49206 -2.26546
-4.58562 -6.50392 -1.91148
-4.41012 -6.49928 -1.86641
-4.07932 -6.36648 -1.6115
-4.59742 -6.39733 -1.49096
-4.20202 -6.1145 -2.65374
-4.20402 -6.33825 -2.49412
-4.53942 -6.12367 -2.52237
-4.22942 -5.90276 -2.78469
-4.57032 -6.18111 -0.650506
-4.55742 -6.18366 0.0206441
-4.55372 -6.14556 0.212334
-4.41492 -6.15672 0.0421541
-4.56522 -6.05169 0.503624
-4.56702 -6.10254 0.357054
-4.21242 -5.99489 0.650514
-4.49672 -5.99474 0.799614
-4.22142 -5.98373 0.820084
-4.50722 -5.96031 1.16243
-4.29612 -5.57458 -2.91322
-4.80222 -5.45948 -2.81474
-4.52372 -5.3469 -2.93203
-4.23062 -5.82372 1.44457
-4.59832 -5.90684 1.43281
-4.44362 -5.93896 1.34256
-4.10392 -5.86852 1.2418
-4.19182 -5.78305 1.59642
-4.37022 -5.72642 1.72973
-4.42492 -5.65027 1.83907
-4.42472 -5.12699 -2.98612
-4.58972 -5.35736 1.91605
-4.35882 -5.49078 1.99222
-4.20332 -5.32023 2.09761
-4.38382 -4.72173 -3.0151
-4.58962 -4.48889 -3.01028
-4.40502 -5.2063 2.02431
-3.94952 -4.9968 2.19716
-4.04382 -4.36788 -3.00206
-4.69732 -4.36855 1.87195
-4.46892 -4.56329 2.00011
-4.29562 -4.43621 2.14013
-4.54852 -4.25355 2.04394
-4.51192 -3.83796 2.23741
-4.40262 -3.91509 -3.01696
-4.28802 -3.9584 2.3432
-4.45382 -3.46088 2.28326
-4.62372 -3.3976 2.10706
-4.39132 -3.26115 2.37148
-4.43622 -3.04953 -3.00457
-4.66132 -2.89585 -2.93123
-4.60262 -2.86318 1.99525
-4.51752 -3.19927 2.18364
-4.23722 -2.89346 -3.00601
-4.39512 -2.75636 2.34568
-4.62402 -2.37037 1.87258
-4.58672 -2.46518 -2.89449
-4.40312 -1.83244 -2.96865
-4.41792 -2.55948 -2.96725
-4.44022 -2.43686 2.21059
-4.53752 -1.63276 1.55649
-4.64862 -1.92285 1.37334
-4.49132 -2.09134 2.00666
-4.34442 -2.32098 2.32055
-4.23302 -2.38199 2.46168
-4.34772 -1.37315 -2.98549
-4.53002 -1.16951 0.785714
-4.48062 -1.19194 1.28777
-4.49812 -1.73766 1.77369
-4.37522 -1.65032 1.99991
-4.30002 -1.13478 -2.94014
-4.52312 -1.21899 -2.82488
-4.17042 -0.586998 -2.90507
-4.56502 -1.00712 0.586054
-4.53912 -1.41099 1.13839
-4.32542 -1.30984 1.9638
-4.26332 -1.5256 2.14078
-4.40552 -1.00073 -2.83469
-4.30692 -0.623378 -2.80807
-4.50912 -0.538098 -2.46426
-4.58382 -0.436368 -2.28547
-4.48932 -0.962318 1.01387
-4.39012 -1.12132 1.63188
-4.28262 -0.692068 1.87451
-4.24382 -0.885388 2.05782
-4.45632 -0.674138 -2.63373
-4.29202 -0.357268 -2.67718
-4.46812 -0.592738 0.962104
-4.39502 -0.0891382 0.935044
-4.23612 -0.0161882 -2.65756
-4.38652 -0.0989982 -2.48524
-4.76042 -0.457608 -1.94375
-4.63242 0.160092 0.307014
-4.37852 -0.485918 1.23508
-4.32232 -0.388198 1.47816
-4.31622 0.32834 0.951724
-4.53062 0.219112 -2.07466
-4.49722 0.0268818 0.617904
-4.36262 0.582493 0.638884
-4.27012 -0.273248 1.71126
-4.26882 0.881336 -2.48735
-4.22362 0.537979 -2.62005
-4.41522 0.471442 -2.26007
-4.47102 0.420262 0.451364
-4.26892 0.768918 0.808984
-4.55022 1.39574 -0.582706
-4.54822 0.76188 0.0127541
-4.46072 1.04034 0.0541041
-4.27452 1.32523 0.500024
-4.17752 0.825803 0.977464
-4.24162 1.81501 0.349164
-4.39982 0.967597 -1.98496
-4.26622 1.56895 -1.94162
-4.17512 2.0699 -1.88801
-4.29522 1.74496 -1.7651
-4.53602 1.36097 -1.42766
-4.36342 1.98309 -1.40064
-4.56272 1.44213 -1.25165
-4.49432 1.78453 -1.02501
-4.47212 1.65584 -0.428666
-4.28842 1.83627 0.164264
-4.34102 2.09452 -0.249806
-4.33612 1.4322 0.236344
-4.42032 2.28359 -0.973466
-4.52202 1.66677 -0.840386
-4.35872 2.41325 -0.578936
-4.32352 2.60685 -1.24775
-4.42772 1.93851 -1.21541
-4.34012 2.73991 -0.863996
-4.46352 1.96614 -0.698156
-4.31292 2.88063 -0.761226
-4.27572 2.85499 -0.562076
-4.27212 2.34676 -0.195756
-4.25672 2.6371 -1.45976
-4.24102 3.0832 -1.26856
-4.18382 3.52865 -1.24226
-4.24612 3.566 -0.729936
-4.29592 2.97833 -1.0805
-4.26342 3.43479 -0.927196
-3.86662 -6.43449 -2.42897
-4.18202 -6.52223 -2.08697
-4.07132 -6.20825 -1.16186
-3.91982 -6.08349 -2.74101
-3.85972 -6.27019 -2.61529
-3.85782 -5.89371 -2.85912
-4.06692 -6.16633 -0.944636
-3.84932 -6.1501 -0.766886
-4.21582 -6.16631 -0.576426
-3.50492 -6.13653 -0.769606
-3.93582 -6.14032 -0.482516
-3.33012 -6.07841 -0.601996
-3.87362 -6.11031 -0.341526
-3.36592 -6.00811 -0.350596
-3.68882 -6.00191 -0.0869659
-4.23282 -6.0278 0.360834
-3.53142 -5.93203 0.193184
-4.24272 -5.96989 0.991524
-4.17062 -5.33513 -2.99311
-3.85182 -5.70087 -2.93654
-3.98352 -5.49555 -2.98125
-4.24092 -5.94645 1.13719
-3.92192 -5.78719 1.40785
-3.87572 -5.75649 1.58845
-4.15502 -5.74591 1.74555
-3.57782 -5.72954 1.31604
-3.82822 -5.72677 1.7326
-3.55402 -5.69059 1.65049
-4.34472 -5.58829 1.94254
-4.07392 -5.62698 1.97857
-4.10582 -5.69669 1.87276
-3.79152 -5.69096 1.86278
-3.91442 -5.43415 2.16858
-3.76962 -5.63289 2.01193
-3.69452 -5.32617 -3.01158
-4.02422 -5.53908 2.08547
-3.86282 -5.30639 2.21385
-4.18112 -5.11335 -3.01004
-3.86422 -4.7381 -3.00577
-4.12812 -4.70574 2.14345
-4.44522 -4.13512 2.20531
-4.00542 -4.05103 2.46311
-3.87212 -4.11518 -3.00966
-3.86392 -3.45393 -2.99109
-3.67762 -3.35894 -2.9925
-4.33622 -3.73811 2.36223
-4.24842 -3.29034 2.56345
-4.25502 -3.60731 2.46016
-4.09572 -3.56232 2.64877
-4.08872 -3.82787 2.51954
-4.04422 -3.28241 2.77178
-3.90342 -3.70075 2.74636
-3.86702 -3.4329 2.87333
-3.76272 -3.01076 -2.98393
-4.37352 -3.25807 -3.02011
-4.08792 -3.61595 -3.00271
-3.66032 -3.28946 3.01509
-4.23512 -2.90019 2.57966
-3.95142 -2.72923 2.7659
-3.60932 -2.76223 -3.01235
-4.23662 -2.35927 -2.99701
-3.97192 -2.51265 -3.00817
-3.58082 -2.03999 2.73953
-3.86992 -2.00841 -3.02683
-4.07832 -1.29458 -3.0039
-4.19752 -1.60948 -3.01224
-3.67692 -1.66282 -3.04688
-4.06182 -1.9897 2.45055
-4.17572 -1.67722 2.28115
-3.96922 -1.76379 2.45393
-4.04932 -0.748148 -2.97082
-3.91832 -1.03848 2.40702
-3.62662 -1.66227 2.65184
-4.13942 -1.01922 2.21499
-4.21302 -0.607318 2.01176
-4.10212 -0.637318 2.14169
-3.98112 -0.631378 2.2614
-3.95292 -0.437248 -2.93452
-3.74152 -0.604648 -2.99526
-4.15372 -0.391128 -2.81551
-4.14512 -0.297158 1.95441
-4.01152 -0.257998 2.13687
-3.89392 -0.100418 -2.91366
-3.71182 0.251842 -2.97233
-4.14222 0.0310018 1.77361
-4.11292 0.320581 1.63024
-3.90052 -0.296668 2.27079
-3.76162 -0.456898 2.41001
-4.07202 -0.0235082 -2.80544
-4.11462 0.673139 1.30065
-4.05872 0.0317418 1.9667
-3.98142 0.448204 1.9653
-3.88522 0.358647 -2.9123
-4.05062 0.324246 -2.80775
-4.04022 0.697603 -2.81646
-4.20242 0.321403 -2.66111
-4.24862 0.445199 1.09236
-3.82172 0.619581 2.20932
-3.92052 0.34197 2.14494
-3.82312 0.256352 2.30667
-3.88552 0.846889 -2.92389
-4.15082 1.05249 -2.66529
-3.87712 1.19585 -2.92291
-4.07512 1.03402 1.13122
-3.93042 1.21885 1.47111
-3.90612 0.794793 1.95957
-3.73142 1.07841 2.08682
-3.71542 1.40965 -2.97492
-4.02872 1.04099 -2.81701
-4.16512 1.24252 -2.55224
-4.00102 1.43149 1.09697
-4.09132 1.37664 0.878354
